step,veh_id,route_id,start_lane,end_lane
1,veh_1_1,route_22_7,22,7
1,veh_1_2,route_21_8,21,8
1,veh_1_3,route_10_19,10,19
4,veh_4_1,route_17_18,17,18
5,veh_5_1,route_16_1,16,1
5,veh_5_2,route_5_12,5,12
5,veh_5_3,route_4_13,4,13
10,veh_10_1,route_20_13,20,13
11,veh_11_1,route_17_18,17,18
12,veh_12_1,route_22_7,22,7
14,veh_14_1,route_21_8,21,8
14,veh_14_2,route_10_19,10,19
15,veh_15_1,route_22_1,22,1
15,veh_15_2,route_11_18,11,18
19,veh_19_1,route_21_8,21,8
23,veh_23_1,route_3_19,3,19
24,veh_24_1,route_4_13,4,13
24,veh_24_2,route_20_13,20,13
25,veh_25_1,route_5_12,5,12
30,veh_30_1,route_15_2,15,2
32,veh_32_1,route_16_1,16,1
33,veh_33_1,route_10_19,10,19
34,veh_34_1,route_11_18,11,18
36,veh_36_1,route_21_8,21,8
37,veh_37_1,route_22_7,22,7
39,veh_39_1,route_20_13,20,13
41,veh_41_1,route_3_19,3,19
41,veh_41_2,route_17_18,17,18
43,veh_43_1,route_11_12,11,12
44,veh_44_1,route_14_8,14,8
45,veh_45_1,route_4_13,4,13
47,veh_47_1,route_5_12,5,12
47,veh_47_2,route_17_1,17,1
47,veh_47_3,route_16_2,16,2
51,veh_51_1,route_10_19,10,19
52,veh_52_1,route_11_18,11,18
52,veh_52_2,route_21_8,21,8
52,veh_52_3,route_22_7,22,7
55,veh_55_1,route_14_8,14,8
57,veh_57_1,route_5_12,5,12
57,veh_57_2,route_3_19,3,19
57,veh_57_3,route_16_1,16,1
57,veh_57_4,route_15_2,15,2
65,veh_65_1,route_10_19,10,19
65,veh_65_2,route_11_18,11,18
65,veh_65_3,route_21_8,21,8
65,veh_65_4,route_22_7,22,7
71,veh_71_1,route_14_8,14,8
72,veh_72_1,route_3_19,3,19
74,veh_74_1,route_5_12,5,12
75,veh_75_1,route_15_2,15,2
75,veh_75_2,route_16_1,16,1
75,veh_75_3,route_4_13,4,13
78,veh_78_1,route_3_19,3,19
78,veh_78_2,route_17_18,17,18
81,veh_81_1,route_17_18,17,18
82,veh_82_1,route_21_8,21,8
82,veh_82_2,route_22_7,22,7
86,veh_86_1,route_11_18,11,18
86,veh_86_2,route_10_19,10,19
91,veh_91_1,route_5_12,5,12
91,veh_91_2,route_3_19,3,19
93,veh_93_1,route_14_8,14,8
94,veh_94_1,route_16_1,16,1
94,veh_94_2,route_15_2,15,2
100,veh_100_1,route_21_8,21,8
100,veh_100_2,route_22_7,22,7
101,veh_101_1,route_10_19,10,19
101,veh_101_2,route_11_12,11,12
101,veh_101_3,route_21_8,21,8
101,veh_101_4,route_22_7,22,7
104,veh_104_1,route_3_19,3,19
105,veh_105_1,route_5_12,5,12
106,veh_106_1,route_4_13,4,13
107,veh_107_1,route_14_8,14,8
107,veh_107_2,route_15_2,15,2
107,veh_107_3,route_16_1,16,1
113,veh_113_1,route_11_18,11,18
113,veh_113_2,route_21_8,21,8
113,veh_113_3,route_22_7,22,7
114,veh_114_1,route_10_19,10,19
118,veh_118_1,route_14_8,14,8
118,veh_118_2,route_15_2,15,2
118,veh_118_3,route_16_1,16,1
119,veh_119_1,route_5_12,5,12
122,veh_122_1,route_17_18,17,18
124,veh_124_1,route_11_12,11,12
125,veh_125_1,route_22_1,22,1
126,veh_126_1,route_21_8,21,8
127,veh_127_1,route_20_13,20,13
128,veh_128_1,route_10_19,10,19
130,veh_130_1,route_11_18,11,18
131,veh_131_1,route_3_19,3,19
136,veh_136_1,route_17_18,17,18
136,veh_136_2,route_15_2,15,2
136,veh_136_3,route_16_1,16,1
136,veh_136_4,route_11_12,11,12
136,veh_136_5,route_10_19,10,19
143,veh_143_1,route_10_19,10,19
144,veh_144_1,route_21_8,21,8
144,veh_144_2,route_22_7,22,7
147,veh_147_1,route_20_13,20,13
147,veh_147_2,route_16_1,16,1
147,veh_147_3,route_15_2,15,2
149,veh_149_1,route_5_12,5,12
150,veh_150_1,route_4_13,4,13
152,veh_152_1,route_17_18,17,18
154,veh_154_1,route_14_8,14,8
154,veh_154_2,route_11_12,11,12
155,veh_155_1,route_21_8,21,8
155,veh_155_2,route_22_7,22,7
160,veh_160_1,route_10_19,10,19
161,veh_161_1,route_22_1,22,1
162,veh_162_1,route_11_18,11,18
163,veh_163_1,route_5_12,5,12
163,veh_163_2,route_20_13,20,13
166,veh_166_1,route_17_18,17,18
166,veh_166_2,route_16_1,16,1
166,veh_166_3,route_15_2,15,2
167,veh_167_1,route_21_8,21,8
174,veh_174_1,route_11_18,11,18
174,veh_174_2,route_21_8,21,8
174,veh_174_3,route_22_7,22,7
175,veh_175_1,route_10_19,10,19
177,veh_177_1,route_20_13,20,13
179,veh_179_1,route_17_18,17,18
181,veh_181_1,route_4_13,4,13
181,veh_181_2,route_16_1,16,1
181,veh_181_3,route_15_2,15,2
182,veh_182_1,route_17_18,17,18
186,veh_186_1,route_11_18,11,18
187,veh_187_1,route_21_8,21,8
188,veh_188_1,route_22_7,22,7
188,veh_188_2,route_10_19,10,19
192,veh_192_1,route_4_13,4,13
192,veh_192_2,route_17_18,17,18
192,veh_192_3,route_15_2,15,2
193,veh_193_1,route_16_1,16,1
194,veh_194_1,route_5_12,5,12
195,veh_195_1,route_17_18,17,18
198,veh_198_1,route_11_18,11,18
199,veh_199_1,route_10_19,10,19
201,veh_201_1,route_9_2,9,2
202,veh_202_1,route_21_8,21,8
202,veh_202_2,route_22_7,22,7
205,veh_205_1,route_17_18,17,18
206,veh_206_1,route_16_1,16,1
206,veh_206_2,route_15_2,15,2
209,veh_209_1,route_5_12,5,12
210,veh_210_1,route_4_13,4,13
217,veh_217_1,route_10_19,10,19
217,veh_217_2,route_11_18,11,18
219,veh_219_1,route_20_13,20,13
219,veh_219_2,route_21_8,21,8
221,veh_221_1,route_17_18,17,18
221,veh_221_2,route_22_7,22,7
222,veh_222_1,route_9_2,9,2
224,veh_224_1,route_17_18,17,18
224,veh_224_2,route_16_1,16,1
224,veh_224_3,route_15_2,15,2
226,veh_226_1,route_5_12,5,12
228,veh_228_1,route_4_13,4,13
230,veh_230_1,route_17_18,17,18
231,veh_231_1,route_10_19,10,19
232,veh_232_1,route_11_18,11,18
233,veh_233_1,route_22_1,22,1
233,veh_233_2,route_21_8,21,8
234,veh_234_1,route_17_18,17,18
234,veh_234_2,route_20_13,20,13
236,veh_236_1,route_5_12,5,12
237,veh_237_1,route_16_1,16,1
238,veh_238_1,route_4_13,4,13
239,veh_239_1,route_15_2,15,2
241,veh_241_1,route_16_1,16,1
241,veh_241_2,route_14_8,14,8
241,veh_241_3,route_17_18,17,18
242,veh_242_1,route_11_18,11,18
244,veh_244_1,route_10_19,10,19
245,veh_245_1,route_21_8,21,8
245,veh_245_2,route_22_7,22,7
247,veh_247_1,route_20_13,20,13
250,veh_250_1,route_16_1,16,1
250,veh_250_2,route_5_12,5,12
250,veh_250_3,route_4_13,4,13
250,veh_250_4,route_15_2,15,2
253,veh_253_1,route_17_18,17,18
253,veh_253_2,route_3_19,3,19
253,veh_253_3,route_14_8,14,8
253,veh_253_4,route_15_2,15,2
259,veh_259_1,route_9_2,9,2
259,veh_259_2,route_10_19,10,19
259,veh_259_3,route_11_18,11,18
262,veh_262_1,route_21_8,21,8
262,veh_262_2,route_22_7,22,7
262,veh_262_3,route_20_13,20,13
265,veh_265_1,route_5_12,5,12
265,veh_265_2,route_17_18,17,18
266,veh_266_1,route_16_1,16,1
267,veh_267_1,route_15_2,15,2
269,veh_269_1,route_4_13,4,13
269,veh_269_2,route_15_2,15,2
270,veh_270_1,route_17_18,17,18
272,veh_272_1,route_11_12,11,12
275,veh_275_1,route_10_19,10,19
275,veh_275_2,route_21_8,21,8
275,veh_275_3,route_22_7,22,7
276,veh_276_1,route_20_13,20,13
280,veh_280_1,route_5_12,5,12
280,veh_280_2,route_4_13,4,13
282,veh_282_1,route_17_18,17,18
282,veh_282_2,route_16_1,16,1
282,veh_282_3,route_15_2,15,2
283,veh_283_1,route_6_7,6,7
284,veh_284_1,route_14_8,14,8
288,veh_288_1,route_11_18,11,18
290,veh_290_1,route_10_19,10,19
290,veh_290_2,route_22_7,22,7
292,veh_292_1,route_21_8,21,8
294,veh_294_1,route_20_13,20,13
294,veh_294_2,route_17_18,17,18
295,veh_295_1,route_4_13,4,13
295,veh_295_2,route_16_1,16,1
295,veh_295_3,route_15_2,15,2
296,veh_296_1,route_5_12,5,12
299,veh_299_1,route_17_18,17,18
301,veh_301_1,route_11_18,11,18
303,veh_303_1,route_10_19,10,19
303,veh_303_2,route_21_8,21,8
303,veh_303_3,route_22_7,22,7
306,veh_306_1,route_4_13,4,13
308,veh_308_1,route_5_12,5,12
309,veh_309_1,route_17_18,17,18
310,veh_310_1,route_16_1,16,1
310,veh_310_2,route_15_2,15,2
316,veh_316_1,route_20_13,20,13
317,veh_317_1,route_21_8,21,8
317,veh_317_2,route_22_1,22,1
319,veh_319_1,route_10_19,10,19
319,veh_319_2,route_11_18,11,18
321,veh_321_1,route_9_2,9,2
323,veh_323_1,route_11_18,11,18
323,veh_323_2,route_15_2,15,2
323,veh_323_3,route_17_18,17,18
325,veh_325_1,route_5_12,5,12
330,veh_330_1,route_22_1,22,1
332,veh_332_1,route_21_8,21,8
332,veh_332_2,route_20_13,20,13
334,veh_334_1,route_17_18,17,18
334,veh_334_2,route_15_2,15,2
335,veh_335_1,route_16_1,16,1
337,veh_337_1,route_14_8,14,8
339,veh_339_1,route_3_19,3,19
341,veh_341_1,route_4_13,4,13
342,veh_342_1,route_5_12,5,12
344,veh_344_1,route_17_18,17,18
345,veh_345_1,route_10_19,10,19
345,veh_345_2,route_22_7,22,7
347,veh_347_1,route_11_18,11,18
349,veh_349_1,route_22_7,22,7
349,veh_349_2,route_21_8,21,8
350,veh_350_1,route_20_13,20,13
353,veh_353_1,route_3_19,3,19
354,veh_354_1,route_4_13,4,13
355,veh_355_1,route_17_18,17,18
355,veh_355_2,route_16_1,16,1
355,veh_355_3,route_15_2,15,2
357,veh_357_1,route_5_12,5,12
361,veh_361_1,route_10_19,10,19
361,veh_361_2,route_11_12,11,12
361,veh_361_3,route_17_18,17,18
363,veh_363_1,route_20_13,20,13
363,veh_363_2,route_21_8,21,8
363,veh_363_3,route_22_7,22,7
367,veh_367_1,route_17_18,17,18
368,veh_368_1,route_3_19,3,19
368,veh_368_2,route_15_2,15,2
369,veh_369_1,route_16_1,16,1
370,veh_370_1,route_15_2,15,2
374,veh_374_1,route_9_2,9,2
376,veh_376_1,route_10_19,10,19
376,veh_376_2,route_11_18,11,18
379,veh_379_1,route_21_8,21,8
380,veh_380_1,route_22_7,22,7
382,veh_382_1,route_20_13,20,13
383,veh_383_1,route_17_18,17,18
386,veh_386_1,route_3_19,3,19
387,veh_387_1,route_16_1,16,1
387,veh_387_2,route_15_2,15,2
387,veh_387_3,route_4_13,4,13
388,veh_388_1,route_6_7,6,7
390,veh_390_1,route_5_12,5,12
390,veh_390_2,route_22_1,22,1
392,veh_392_1,route_17_18,17,18
