step,veh_id,route_id,start_lane,end_lane
1,veh_1_1,route_21_8,21,8
1,veh_1_2,route_11_18,11,18
1,veh_1_3,route_10_19,10,19
2,veh_2_1,route_22_7,22,7
7,veh_4_1,route_5_12,5,12
7,veh_7_1,route_3_19,3,19
11,veh_7_2,route_10_19,10,19
11,veh_11_1,route_21_8,21,8
13,veh_11_2,route_11_18,11,18
13,veh_13_1,route_22_7,22,7
16,veh_13_2,route_21_8,21,8
16,veh_16_1,route_10_19,10,19
18,veh_16_2,route_11_18,11,18
19,veh_18_1,route_21_8,21,8
20,veh_19_1,route_11_18,11,18
20,veh_20_1,route_10_19,10,19
30,veh_20_2,route_10_19,10,19
31,veh_30_1,route_11_18,11,18
37,veh_31_1,route_15_2,15,2
41,veh_37_1,route_10_19,10,19
41,veh_41_1,route_21_8,21,8
42,veh_41_2,route_22_7,22,7
43,veh_42_1,route_11_18,11,18
44,veh_43_1,route_21_8,21,8
47,veh_44_1,route_16_1,16,1
49,veh_47_1,route_17_18,17,18
51,veh_49_1,route_22_2,22,2
52,veh_51_1,route_21_8,21,8
54,veh_52_1,route_10_19,10,19
56,veh_54_1,route_11_18,11,18
54,veh_54_2,route_20_13,20,13
55,veh_55_1,route_22_7,22,7
61,veh_56_1,route_16_1,16,1
62,veh_61_1,route_15_2,15,2
64,veh_62_1,route_14_7,14,7
65,veh_64_1,route_17_18,17,18
65,veh_65_1,route_20_13,20,13
67,veh_65_2,route_21_8,21,8
67,veh_67_1,route_22_7,22,7
70,veh_67_2,route_10_19,10,19
71,veh_70_1,route_21_8,21,8
71,veh_71_1,route_11_12,11,12
75,veh_71_2,route_5_12,5,12
76,veh_75_1,route_16_1,16,1
76,veh_76_1,route_15_2,15,2
80,veh_76_2,route_20_13,20,13
81,veh_80_1,route_22_7,22,7
83,veh_81_1,route_10_19,10,19
85,veh_83_1,route_11_12,11,12
86,veh_85_1,route_16_1,16,1
89,veh_86_1,route_5_12,5,12
89,veh_89_1,route_14_7,14,7
90,veh_89_2,route_17_18,17,18
93,veh_90_1,route_20_13,20,13
95,veh_93_1,route_21_8,21,8
98,veh_95_1,route_10_19,10,19
98,veh_98_1,route_11_18,11,18
101,veh_98_2,route_5_12,5,12
101,veh_101_1,route_4_13,4,13
102,veh_101_2,route_16_1,16,1
108,veh_102_1,route_10_19,10,19
108,veh_108_1,route_11_18,11,18
109,veh_108_2,route_21_7,21,7
111,veh_109_1,route_14_7,14,7
114,veh_111_1,route_11_18,11,18
114,veh_114_1,route_10_19,10,19
117,veh_114_2,route_21_7,21,7
