step,veh_id,route_id,start_lane,end_lane
2,veh_2_1,route_17_1,17,1
2,veh_2_2,route_15_8,15,8
4,veh_4_1,route_16_2,16,2
6,veh_6_1,route_15_8,15,8
7,veh_7_1,route_11_18,11,18
7,veh_7_2,route_10_19,10,19
8,veh_8_1,route_22_7,22,7
10,veh_10_1,route_21_8,21,8
12,veh_12_1,route_22_7,22,7
14,veh_14_1,route_21_8,21,8
14,veh_14_2,route_20_14,20,14
16,veh_16_1,route_17_1,17,1
18,veh_18_1,route_16_2,16,2
19,veh_19_1,route_10_19,10,19
19,veh_19_2,route_6_7,6,7
20,veh_20_1,route_15_8,15,8
22,veh_22_1,route_12_13,12,13
25,veh_25_1,route_22_7,22,7
25,veh_25_2,route_21_8,21,8
27,veh_27_1,route_22_7,22,7
29,veh_29_1,route_17_1,17,1
29,veh_29_2,route_16_2,16,2
31,veh_31_1,route_5_14,5,14
31,veh_31_2,route_17_18,17,18
32,veh_32_1,route_15_8,15,8
36,veh_36_1,route_22_7,22,7
36,veh_36_2,route_21_8,21,8
37,veh_37_1,route_20_14,20,14
37,veh_37_2,route_10_19,10,19
38,veh_38_1,route_11_18,11,18
39,veh_39_1,route_17_18,17,18
46,veh_46_1,route_16_2,16,2
47,veh_47_1,route_15_8,15,8
47,veh_47_2,route_17_1,17,1
48,veh_48_1,route_17_1,17,1
49,veh_49_1,route_15_8,15,8
50,veh_50_1,route_17_18,17,18
51,veh_51_1,route_5_13,5,13
53,veh_53_1,route_4_14,4,14
53,veh_53_2,route_22_1,22,1
54,veh_54_1,route_5_13,5,13
55,veh_55_1,route_20_14,20,14
57,veh_57_1,route_21_8,21,8
59,veh_59_1,route_10_19,10,19
62,veh_62_1,route_11_18,11,18
63,veh_63_1,route_4_14,4,14
66,veh_66_1,route_5_13,5,13
69,veh_69_1,route_17_1,17,1
69,veh_69_2,route_15_8,15,8
74,veh_74_1,route_20_14,20,14
74,veh_74_2,route_11_18,11,18
77,veh_77_1,route_10_19,10,19
77,veh_77_2,route_12_13,12,13
77,veh_77_3,route_9_1,9,1
77,veh_77_4,route_22_7,22,7
77,veh_77_5,route_21_8,21,8
79,veh_79_1,route_4_14,4,14
83,veh_83_1,route_6_7,6,7
83,veh_83_2,route_3_18,3,18
84,veh_84_1,route_22_1,22,1
86,veh_86_1,route_15_8,15,8
89,veh_89_1,route_17_18,17,18
90,veh_90_1,route_21_8,21,8
91,veh_91_1,route_12_13,12,13
93,veh_93_1,route_16_2,16,2
94,veh_94_1,route_17_1,17,1
100,veh_100_1,route_20_14,20,14
100,veh_100_2,route_21_8,21,8
100,veh_100_3,route_22_7,22,7
102,veh_102_1,route_10_19,10,19
104,veh_104_1,route_11_18,11,18
104,veh_104_2,route_20_14,20,14
106,veh_106_1,route_12_13,12,13
108,veh_108_1,route_3_19,3,19
109,veh_109_1,route_17_1,17,1
109,veh_109_2,route_16_2,16,2
111,veh_111_1,route_15_8,15,8
115,veh_115_1,route_15_8,15,8
115,veh_115_2,route_5_13,5,13
115,veh_115_3,route_4_14,4,14
119,veh_119_1,route_6_7,6,7
119,veh_119_2,route_21_8,21,8
121,veh_121_1,route_22_7,22,7
122,veh_122_1,route_10_19,10,19
124,veh_124_1,route_11_18,11,18
126,veh_126_1,route_12_13,12,13
127,veh_127_1,route_5_13,5,13
127,veh_127_2,route_20_14,20,14
128,veh_128_1,route_6_7,6,7
130,veh_130_1,route_4_14,4,14
131,veh_131_1,route_6_7,6,7
132,veh_132_1,route_17_1,17,1
132,veh_132_2,route_16_2,16,2
136,veh_136_1,route_11_18,11,18
136,veh_136_2,route_10_19,10,19
137,veh_137_1,route_21_8,21,8
138,veh_138_1,route_22_7,22,7
140,veh_140_1,route_20_14,20,14
140,veh_140_2,route_16_2,16,2
141,veh_141_1,route_6_7,6,7
143,veh_143_1,route_16_2,16,2
145,veh_145_1,route_15_8,15,8
149,veh_149_1,route_4_14,4,14
152,veh_152_1,route_9_2,9,2
153,veh_153_1,route_10_19,10,19
153,veh_153_2,route_11_18,11,18
154,veh_154_1,route_12_14,12,14
154,veh_154_2,route_21_8,21,8
154,veh_154_3,route_22_7,22,7
158,veh_158_1,route_20_14,20,14
163,veh_163_1,route_16_2,16,2
163,veh_163_2,route_17_1,17,1
163,veh_163_3,route_15_8,15,8
167,veh_167_1,route_5_13,5,13
167,veh_167_2,route_4_14,4,14
170,veh_170_1,route_9_2,9,2
170,veh_170_2,route_22_7,22,7
170,veh_170_3,route_21_8,21,8
171,veh_171_1,route_10_19,10,19
173,veh_173_1,route_11_18,11,18
174,veh_174_1,route_6_7,6,7
174,veh_174_2,route_5_13,5,13
177,veh_177_1,route_20_14,20,14
178,veh_178_1,route_22_7,22,7
181,veh_181_1,route_17_1,17,1
181,veh_181_2,route_16_2,16,2
185,veh_185_1,route_11_18,11,18
186,veh_186_1,route_10_19,10,19
189,veh_189_1,route_4_14,4,14
189,veh_189_2,route_21_8,21,8
191,veh_191_1,route_22_7,22,7
195,veh_195_1,route_16_2,16,2
195,veh_195_2,route_15_8,15,8
196,veh_196_1,route_17_1,17,1
198,veh_198_1,route_11_18,11,18
199,veh_199_1,route_10_19,10,19
200,veh_200_1,route_4_14,4,14
202,veh_202_1,route_5_13,5,13
202,veh_202_2,route_22_7,22,7
202,veh_202_3,route_21_8,21,8
206,veh_206_1,route_12_13,12,13
207,veh_207_1,route_6_7,6,7
208,veh_208_1,route_17_1,17,1
210,veh_210_1,route_12_13,12,13
210,veh_210_2,route_10_19,10,19
210,veh_210_3,route_11_18,11,18
211,veh_211_1,route_22_7,22,7
211,veh_211_2,route_21_8,21,8
215,veh_215_1,route_17_18,17,18
217,veh_217_1,route_6_7,6,7
219,veh_219_1,route_16_2,16,2
219,veh_219_2,route_15_8,15,8
220,veh_220_1,route_12_13,12,13
223,veh_223_1,route_22_7,22,7
223,veh_223_2,route_11_18,11,18
225,veh_225_1,route_10_19,10,19
225,veh_225_2,route_21_8,21,8
226,veh_226_1,route_11_18,11,18
227,veh_227_1,route_5_13,5,13
233,veh_233_1,route_17_1,17,1
233,veh_233_2,route_4_14,4,14
233,veh_233_3,route_16_2,16,2
241,veh_241_1,route_15_8,15,8
242,veh_242_1,route_22_7,22,7
242,veh_242_2,route_21_8,21,8
244,veh_244_1,route_12_13,12,13
246,veh_246_1,route_10_19,10,19
247,veh_247_1,route_11_18,11,18
250,veh_250_1,route_5_13,5,13
250,veh_250_2,route_4_14,4,14
250,veh_250_3,route_17_1,17,1
250,veh_250_4,route_16_2,16,2
251,veh_251_1,route_17_18,17,18
254,veh_254_1,route_15_8,15,8
256,veh_256_1,route_22_7,22,7
256,veh_256_2,route_21_8,21,8
258,veh_258_1,route_17_18,17,18
260,veh_260_1,route_12_13,12,13
260,veh_260_2,route_11_18,11,18
260,veh_260_3,route_10_19,10,19
263,veh_263_1,route_11_18,11,18
264,veh_264_1,route_6_7,6,7
264,veh_264_2,route_5_13,5,13
264,veh_264_3,route_4_14,4,14
267,veh_267_1,route_17_1,17,1
267,veh_267_2,route_16_2,16,2
268,veh_268_1,route_6_7,6,7
270,veh_270_1,route_15_8,15,8
271,veh_271_1,route_17_18,17,18
272,veh_272_1,route_21_8,21,8
273,veh_273_1,route_20_14,20,14
273,veh_273_2,route_22_7,22,7
273,veh_273_3,route_9_2,9,2
276,veh_276_1,route_12_13,12,13
279,veh_279_1,route_5_13,5,13
280,veh_280_1,route_11_18,11,18
280,veh_280_2,route_10_19,10,19
281,veh_281_1,route_12_13,12,13
283,veh_283_1,route_4_14,4,14
285,veh_285_1,route_16_2,16,2
285,veh_285_2,route_15_8,15,8
287,veh_287_1,route_12_13,12,13
289,veh_289_1,route_10_19,10,19
291,veh_291_1,route_22_7,22,7
291,veh_291_2,route_21_8,21,8
293,veh_293_1,route_9_2,9,2
297,veh_297_1,route_15_8,15,8
298,veh_298_1,route_5_13,5,13
298,veh_298_2,route_4_14,4,14
299,veh_299_1,route_6_7,6,7
304,veh_304_1,route_10_19,10,19
306,veh_306_1,route_11_18,11,18
308,veh_308_1,route_22_7,22,7
308,veh_308_2,route_21_8,21,8
309,veh_309_1,route_20_14,20,14
312,veh_312_1,route_9_1,9,1
314,veh_314_1,route_6_7,6,7
314,veh_314_2,route_5_13,5,13
314,veh_314_3,route_20_14,20,14
314,veh_314_4,route_12_13,12,13
315,veh_315_1,route_16_2,16,2
316,veh_316_1,route_17_1,17,1
316,veh_316_2,route_4_14,4,14
317,veh_317_1,route_6_7,6,7
317,veh_317_2,route_3_19,3,19
320,veh_320_1,route_15_8,15,8
321,veh_321_1,route_12_13,12,13
321,veh_321_2,route_17_18,17,18
322,veh_322_1,route_11_18,11,18
322,veh_322_2,route_10_19,10,19
323,veh_323_1,route_11_18,11,18
324,veh_324_1,route_22_7,22,7
329,veh_329_1,route_12_13,12,13
329,veh_329_2,route_21_8,21,8
331,veh_331_1,route_16_2,16,2
333,veh_333_1,route_5_13,5,13
336,veh_336_1,route_4_14,4,14
338,veh_338_1,route_3_19,3,19
344,veh_344_1,route_20_14,20,14
345,veh_345_1,route_10_19,10,19
345,veh_345_2,route_22_7,22,7
346,veh_346_1,route_11_18,11,18
347,veh_347_1,route_10_19,10,19
347,veh_347_2,route_9_19,9,19
349,veh_349_1,route_6_7,6,7
349,veh_349_2,route_5_13,5,13
349,veh_349_3,route_4_14,4,14
350,veh_350_1,route_16_2,16,2
353,veh_353_1,route_17_1,17,1
353,veh_353_2,route_15_8,15,8
353,veh_353_3,route_4_14,4,14
353,veh_353_4,route_3_18,3,18
358,veh_358_1,route_11_18,11,18
361,veh_361_1,route_10_19,10,19
361,veh_361_2,route_11_18,11,18
362,veh_362_1,route_9_2,9,2
365,veh_365_1,route_6_7,6,7
365,veh_365_2,route_22_7,22,7
365,veh_365_3,route_21_8,21,8
367,veh_367_1,route_16_2,16,2
369,veh_369_1,route_17_1,17,1
371,veh_371_1,route_4_14,4,14
372,veh_372_1,route_3_18,3,18
372,veh_372_2,route_5_13,5,13
376,veh_376_1,route_22_7,22,7
376,veh_376_2,route_21_8,21,8
378,veh_378_1,route_11_18,11,18
378,veh_378_2,route_10_19,10,19
380,veh_380_1,route_10_19,10,19
381,veh_381_1,route_5_13,5,13
382,veh_382_1,route_4_14,4,14
383,veh_383_1,route_6_7,6,7
383,veh_383_2,route_16_2,16,2
386,veh_386_1,route_17_1,17,1
387,veh_387_1,route_16_2,16,2
388,veh_388_1,route_22_7,22,7
388,veh_388_2,route_21_8,21,8
389,veh_389_1,route_15_8,15,8
390,veh_390_1,route_9_1,9,1
391,veh_391_1,route_20_14,20,14
394,veh_394_1,route_11_18,11,18
394,veh_394_2,route_10_19,10,19
396,veh_396_1,route_6_7,6,7
400,veh_400_1,route_16_2,16,2
400,veh_400_2,route_4_14,4,14
400,veh_400_3,route_3_18,3,18
400,veh_400_4,route_17_1,17,1
400,veh_400_5,route_15_8,15,8
406,veh_406_1,route_22_7,22,7
406,veh_406_2,route_21_8,21,8
408,veh_408_1,route_11_18,11,18
410,veh_410_1,route_10_19,10,19
410,veh_410_2,route_9_2,9,2
415,veh_415_1,route_17_1,17,1
416,veh_416_1,route_16_2,16,2
419,veh_419_1,route_5_13,5,13
421,veh_421_1,route_4_14,4,14
421,veh_421_2,route_6_7,6,7
422,veh_422_1,route_15_8,15,8
424,veh_424_1,route_22_1,22,1
425,veh_425_1,route_21_8,21,8
425,veh_425_2,route_11_18,11,18
426,veh_426_1,route_10_19,10,19
428,veh_428_1,route_9_1,9,1
431,veh_431_1,route_6_7,6,7
432,veh_432_1,route_3_18,3,18
433,veh_433_1,route_4_14,4,14
436,veh_436_1,route_4_14,4,14
437,veh_437_1,route_15_8,15,8
440,veh_440_1,route_16_2,16,2
440,veh_440_2,route_17_1,17,1
444,veh_444_1,route_10_19,10,19
444,veh_444_2,route_22_7,22,7
445,veh_445_1,route_21_8,21,8
446,veh_446_1,route_11_18,11,18
446,veh_446_2,route_9_1,9,1
451,veh_451_1,route_3_18,3,18
453,veh_453_1,route_15_8,15,8
456,veh_456_1,route_16_2,16,2
457,veh_457_1,route_6_7,6,7
457,veh_457_2,route_21_8,21,8
458,veh_458_1,route_11_18,11,18
461,veh_461_1,route_10_19,10,19
462,veh_462_1,route_17_1,17,1
464,veh_464_1,route_9_2,9,2
468,veh_468_1,route_22_7,22,7
471,veh_471_1,route_15_8,15,8
473,veh_473_1,route_6_7,6,7
473,veh_473_2,route_3_18,3,18
474,veh_474_1,route_4_14,4,14
474,veh_474_2,route_5_13,5,13
475,veh_475_1,route_22_1,22,1
477,veh_477_1,route_4_14,4,14
479,veh_479_1,route_22_7,22,7
479,veh_479_2,route_21_8,21,8
481,veh_481_1,route_17_1,17,1
483,veh_483_1,route_11_18,11,18
483,veh_483_2,route_10_19,10,19
484,veh_484_1,route_16_2,16,2
487,veh_487_1,route_9_1,9,1
489,veh_489_1,route_10_19,10,19
492,veh_492_1,route_3_18,3,18
492,veh_492_2,route_15_8,15,8
497,veh_497_1,route_4_14,4,14
497,veh_497_2,route_5_13,5,13
501,veh_501_1,route_22_7,22,7
501,veh_501_2,route_21_8,21,8
504,veh_504_1,route_17_1,17,1
504,veh_504_2,route_16_2,16,2
504,veh_504_3,route_11_18,11,18
505,veh_505_1,route_10_19,10,19
506,veh_506_1,route_20_14,20,14
513,veh_513_1,route_9_2,9,2
515,veh_515_1,route_15_8,15,8
515,veh_515_2,route_22_1,22,1
515,veh_515_3,route_21_8,21,8
519,veh_519_1,route_17_1,17,1
519,veh_519_2,route_22_7,22,7
521,veh_521_1,route_16_2,16,2
521,veh_521_2,route_17_18,17,18
522,veh_522_1,route_4_14,4,14
522,veh_522_2,route_5_13,5,13
527,veh_527_1,route_17_18,17,18
528,veh_528_1,route_12_13,12,13
529,veh_529_1,route_9_2,9,2
529,veh_529_2,route_11_18,11,18
529,veh_529_3,route_10_19,10,19
532,veh_532_1,route_22_7,22,7
532,veh_532_2,route_21_8,21,8
533,veh_533_1,route_5_13,5,13
538,veh_538_1,route_16_2,16,2
538,veh_538_2,route_4_14,4,14
539,veh_539_1,route_15_8,15,8
541,veh_541_1,route_3_18,3,18
541,veh_541_2,route_5_13,5,13
546,veh_546_1,route_21_8,21,8
546,veh_546_2,route_20_14,20,14
548,veh_548_1,route_22_7,22,7
552,veh_552_1,route_11_18,11,18
552,veh_552_2,route_9_2,9,2
554,veh_554_1,route_10_19,10,19
555,veh_555_1,route_4_14,4,14
557,veh_557_1,route_16_2,16,2
557,veh_557_2,route_15_8,15,8
558,veh_558_1,route_17_1,17,1
563,veh_563_1,route_11_18,11,18
563,veh_563_2,route_22_7,22,7
563,veh_563_3,route_21_8,21,8
563,veh_563_4,route_20_14,20,14
568,veh_568_1,route_4_14,4,14
568,veh_568_2,route_3_14,3,14
572,veh_572_1,route_12_13,12,13
573,veh_573_1,route_17_1,17,1
575,veh_575_1,route_16_2,16,2
576,veh_576_1,route_10_19,10,19
576,veh_576_2,route_12_13,12,13
579,veh_579_1,route_11_18,11,18
579,veh_579_2,route_22_7,22,7
579,veh_579_3,route_21_8,21,8
583,veh_583_1,route_15_8,15,8
585,veh_585_1,route_17_18,17,18
585,veh_585_2,route_16_2,16,2
585,veh_585_3,route_4_14,4,14
585,veh_585_4,route_5_13,5,13
590,veh_590_1,route_4_14,4,14
592,veh_592_1,route_11_18,11,18
592,veh_592_2,route_10_19,10,19
593,veh_593_1,route_21_8,21,8
594,veh_594_1,route_22_7,22,7
595,veh_595_1,route_12_13,12,13
598,veh_598_1,route_16_2,16,2
599,veh_599_1,route_17_1,17,1
599,veh_599_2,route_4_14,4,14
599,veh_599_3,route_15_8,15,8
599,veh_599_4,route_6_7,6,7
606,veh_606_1,route_20_14,20,14
608,veh_608_1,route_21_8,21,8
608,veh_608_2,route_22_7,22,7
609,veh_609_1,route_10_19,10,19
612,veh_612_1,route_6_7,6,7
616,veh_616_1,route_17_1,17,1
616,veh_616_2,route_16_2,16,2
616,veh_616_3,route_15_8,15,8
619,veh_619_1,route_5_13,5,13
620,veh_620_1,route_4_14,4,14
621,veh_621_1,route_3_19,3,19
623,veh_623_1,route_22_7,22,7
624,veh_624_1,route_21_8,21,8
628,veh_628_1,route_11_18,11,18
628,veh_628_2,route_10_19,10,19
632,veh_632_1,route_22_7,22,7
634,veh_634_1,route_15_8,15,8
638,veh_638_1,route_17_1,17,1
638,veh_638_2,route_16_2,16,2
638,veh_638_3,route_5_13,5,13
638,veh_638_4,route_4_14,4,14
641,veh_641_1,route_3_18,3,18
641,veh_641_2,route_6_7,6,7
644,veh_644_1,route_22_1,22,1
644,veh_644_2,route_21_8,21,8
644,veh_644_3,route_20_14,20,14
645,veh_645_1,route_10_19,10,19
645,veh_645_2,route_6_7,6,7
647,veh_647_1,route_11_18,11,18
647,veh_647_2,route_9_2,9,2
649,veh_649_1,route_6_7,6,7
654,veh_654_1,route_17_1,17,1
654,veh_654_2,route_16_2,16,2
654,veh_654_3,route_15_8,15,8
658,veh_658_1,route_4_14,4,14
659,veh_659_1,route_3_19,3,19
662,veh_662_1,route_22_7,22,7
662,veh_662_2,route_21_8,21,8
662,veh_662_3,route_20_14,20,14
667,veh_667_1,route_10_19,10,19
668,veh_668_1,route_11_18,11,18
674,veh_674_1,route_16_2,16,2
675,veh_675_1,route_15_8,15,8
676,veh_676_1,route_17_1,17,1
678,veh_678_1,route_5_13,5,13
678,veh_678_2,route_4_14,4,14
678,veh_678_3,route_3_19,3,19
682,veh_682_1,route_22_7,22,7
682,veh_682_2,route_21_8,21,8
682,veh_682_3,route_20_14,20,14
685,veh_685_1,route_10_19,10,19
687,veh_687_1,route_11_18,11,18
687,veh_687_2,route_10_19,10,19
693,veh_693_1,route_16_2,16,2
693,veh_693_2,route_15_8,15,8
694,veh_694_1,route_4_14,4,14
695,veh_695_1,route_17_1,17,1
698,veh_698_1,route_5_13,5,13
698,veh_698_2,route_3_18,3,18
701,veh_701_1,route_22_1,22,1
701,veh_701_2,route_21_8,21,8
704,veh_704_1,route_20_14,20,14
705,veh_705_1,route_10_19,10,19
706,veh_706_1,route_12_13,12,13
706,veh_706_2,route_11_18,11,18
708,veh_708_1,route_4_14,4,14
709,veh_709_1,route_5_13,5,13
711,veh_711_1,route_17_1,17,1
711,veh_711_2,route_16_2,16,2
711,veh_711_3,route_15_8,15,8
716,veh_716_1,route_20_14,20,14
717,veh_717_1,route_22_7,22,7
719,veh_719_1,route_21_8,21,8
721,veh_721_1,route_10_19,10,19
722,veh_722_1,route_11_18,11,18
725,veh_725_1,route_5_13,5,13
728,veh_728_1,route_17_1,17,1
728,veh_728_2,route_16_2,16,2
728,veh_728_3,route_15_8,15,8
734,veh_734_1,route_20_14,20,14
741,veh_741_1,route_9_19,9,19
744,veh_744_1,route_3_18,3,18
746,veh_746_1,route_11_18,11,18
746,veh_746_2,route_10_19,10,19
746,veh_746_3,route_6_7,6,7
749,veh_749_1,route_21_8,21,8
749,veh_749_2,route_22_7,22,7
754,veh_754_1,route_10_19,10,19
755,veh_755_1,route_6_7,6,7
758,veh_758_1,route_4_14,4,14
759,veh_759_1,route_17_1,17,1
761,veh_761_1,route_16_2,16,2
762,veh_762_1,route_3_18,3,18
762,veh_762_2,route_15_8,15,8
765,veh_765_1,route_22_7,22,7
766,veh_766_1,route_21_8,21,8
767,veh_767_1,route_11_18,11,18
767,veh_767_2,route_10_19,10,19
770,veh_770_1,route_20_14,20,14
775,veh_775_1,route_17_1,17,1
775,veh_775_2,route_16_2,16,2
776,veh_776_1,route_4_14,4,14
777,veh_777_1,route_5_13,5,13
781,veh_781_1,route_15_8,15,8
785,veh_785_1,route_11_18,11,18
788,veh_788_1,route_10_19,10,19
790,veh_790_1,route_21_8,21,8
791,veh_791_1,route_22_7,22,7
792,veh_792_1,route_9_18,9,18
793,veh_793_1,route_20_14,20,14
795,veh_795_1,route_17_1,17,1
797,veh_797_1,route_4_14,4,14
797,veh_797_2,route_5_13,5,13
799,veh_799_1,route_6_7,6,7
799,veh_799_2,route_16_2,16,2
801,veh_801_1,route_15_8,15,8
803,veh_803_1,route_11_18,11,18
803,veh_803_2,route_12_13,12,13
804,veh_804_1,route_22_7,22,7
804,veh_804_2,route_21_8,21,8
804,veh_804_3,route_10_19,10,19
806,veh_806_1,route_22_1,22,1
811,veh_811_1,route_4_14,4,14
811,veh_811_2,route_5_13,5,13
813,veh_813_1,route_17_1,17,1
814,veh_814_1,route_15_8,15,8
815,veh_815_1,route_16_2,16,2
816,veh_816_1,route_11_18,11,18
816,veh_816_2,route_10_19,10,19
819,veh_819_1,route_6_7,6,7
819,veh_819_2,route_22_7,22,7
820,veh_820_1,route_21_8,21,8
823,veh_823_1,route_16_2,16,2
824,veh_824_1,route_4_14,4,14
824,veh_824_2,route_17_1,17,1
825,veh_825_1,route_15_8,15,8
830,veh_830_1,route_22_1,22,1
830,veh_830_2,route_21_8,21,8
831,veh_831_1,route_11_18,11,18
831,veh_831_2,route_10_19,10,19
834,veh_834_1,route_9_2,9,2
836,veh_836_1,route_16_2,16,2
836,veh_836_2,route_17_1,17,1
838,veh_838_1,route_5_13,5,13
838,veh_838_2,route_4_14,4,14
841,veh_841_1,route_3_18,3,18
842,veh_842_1,route_12_13,12,13
843,veh_843_1,route_22_7,22,7
843,veh_843_2,route_21_8,21,8
844,veh_844_1,route_11_18,11,18
844,veh_844_2,route_10_19,10,19
851,veh_851_1,route_16_2,16,2
851,veh_851_2,route_17_1,17,1
853,veh_853_1,route_15_8,15,8
857,veh_857_1,route_4_14,4,14
857,veh_857_2,route_5_13,5,13
860,veh_860_1,route_9_2,9,2
861,veh_861_1,route_10_19,10,19
861,veh_861_2,route_11_18,11,18
863,veh_863_1,route_22_7,22,7
863,veh_863_2,route_21_8,21,8
868,veh_868_1,route_17_1,17,1
868,veh_868_2,route_16_2,16,2
868,veh_868_3,route_15_8,15,8
