step,veh_id,route_id,start_lane,end_lane
1,veh_1_1,route_6_7,6,7
1,veh_1_2,route_22_7,22,7
1,veh_1_3,route_21_8,21,8
2,veh_2_1,route_3_19,3,19
3,veh_3_1,route_4_14,4,14
3,veh_3_2,route_16_2,16,2
3,veh_3_3,route_17_1,17,1
3,veh_3_4,route_15_8,15,8
7,veh_3_5,route_6_7,6,7
7,veh_5_1,route_11_18,11,18
7,veh_7_1,route_10_19,10,19
8,veh_7_2,route_9_2,9,2
12,veh_7_3,route_6_7,6,7
14,veh_8_1,route_22_7,22,7
14,veh_12_1,route_21_8,21,8
17,veh_14_1,route_21_8,21,8
17,veh_14_2,route_4_14,4,14
17,veh_17_1,route_17_1,17,1
18,veh_17_2,route_15_8,15,8
19,veh_17_3,route_3_18,3,18
23,veh_17_4,route_4_14,4,14
26,veh_18_1,route_11_18,11,18
29,veh_19_1,route_10_19,10,19
30,veh_23_1,route_22_7,22,7
30,veh_23_2,route_21_8,21,8
33,veh_26_1,route_17_1,17,1
33,veh_27_1,route_22_1,22,1
35,veh_27_2,route_16_2,16,2
35,veh_29_1,route_5_13,5,13
37,veh_30_1,route_16_2,16,2
37,veh_30_2,route_4_14,4,14
39,veh_32_1,route_6_7,6,7
40,veh_33_1,route_15_8,15,8
41,veh_33_2,route_11_18,11,18
42,veh_35_1,route_20_13,20,13
44,veh_35_2,route_21_8,21,8
44,veh_36_1,route_22_7,22,7
45,veh_37_1,route_12_13,12,13
45,veh_37_2,route_10_19,10,19
48,veh_38_1,route_16_2,16,2
48,veh_38_2,route_4_14,4,14
51,veh_39_1,route_17_1,17,1
53,veh_40_1,route_5_14,5,14
54,veh_41_1,route_20_14,20,14
57,veh_42_1,route_12_13,12,13
61,veh_44_1,route_22_7,22,7
61,veh_44_2,route_21_8,21,8
61,veh_45_1,route_11_18,11,18
62,veh_45_2,route_10_19,10,19
65,veh_48_1,route_17_1,17,1
65,veh_48_2,route_16_2,16,2
65,veh_51_1,route_15_8,15,8
66,veh_53_1,route_6_7,6,7
66,veh_54_1,route_4_14,4,14
69,veh_57_1,route_6_7,6,7
69,veh_61_1,route_12_13,12,13
72,veh_61_2,route_6_7,6,7
73,veh_61_3,route_20_14,20,14
75,veh_62_1,route_11_18,11,18
75,veh_65_1,route_10_19,10,19
76,veh_65_2,route_22_7,22,7
76,veh_65_3,route_21_8,21,8
81,veh_66_1,route_17_1,17,1
81,veh_66_2,route_16_2,16,2
82,veh_69_1,route_6_7,6,7
82,veh_69_2,route_4_14,4,14
86,veh_72_1,route_22_1,22,1
86,veh_73_1,route_21_8,21,8
87,veh_75_1,route_12_13,12,13
87,veh_75_2,route_11_18,11,18
90,veh_76_1,route_20_14,20,14
92,veh_76_2,route_10_19,10,19
93,veh_81_1,route_4_14,4,14
93,veh_81_2,route_5_13,5,13
94,veh_82_1,route_11_18,11,18
96,veh_82_2,route_12_13,12,13
99,veh_86_1,route_17_1,17,1
99,veh_86_2,route_16_2,16,2
103,veh_87_1,route_10_19,10,19
104,veh_87_2,route_11_18,11,18
104,veh_90_1,route_22_7,22,7
104,veh_92_1,route_21_8,21,8
104,veh_93_1,route_20_13,20,13
110,veh_93_2,route_4_14,4,14
116,veh_94_1,route_15_8,15,8
118,veh_96_1,route_12_13,12,13
117,veh_99_1,route_20_14,20,14
