timestep,start_lane,end_lane
1,22,7
1,21,8
1,10,19
4,17,18
5,16,1
5,5,12
5,4,13
10,20,13
11,17,18
12,22,7
14,21,8
14,10,19
15,22,1
15,11,18
19,21,8
23,3,19
24,4,13
24,20,13
25,5,12
30,15,2
32,16,1
33,10,19
34,11,18
36,21,8
37,22,7
39,20,13
41,3,19
41,17,18
43,11,12
44,14,8
45,4,13
47,5,12
47,17,1
47,16,2
51,10,19
52,11,18
52,21,8
52,22,7
55,14,8
57,5,12
57,3,19
57,16,1
57,15,2
1:05,10,19
1:05,11,18
1:05,21,8
1:05,22,7
1:11,14,8
1:12,3,19
1:14,5,12
1:15,15,2
1:15,16,1
1:15,4,13
1:18,3,19
1:18,17,18
1:21,17,18
1:22,21,8
1:22,22,7
1:26,11,18
1:26,10,19
1:31,5,12
1:31,3,19
1:33,14,8
1:34,16,1
1:34,15,2
1:40,21,8
1:40,22,7
1:41,10,19
1:41,11,12
1:41,21,8
1:41,22,7
1:44,3,19
1:45,5,12
1:46,4,13
1:47,14,8
1:47,15,2
1:47,16,1
1:53,11,18
1:53,21,8
1:53,22,7
1:54,10,19
1:58,14,8
1:58,15,2
1:58,16,1
1:59,5,12
2:02,17,18
2:04,11,12
2:05,22,1
2:06,21,8
2:07,20,13
2:08,10,19
2:10,11,18
2:11,3,19
2:16,17,18
2:16,15,2
2:16,16,1
2:16,11,12
2:16,10,19
2:23,10,19
2:24,21,8
2:24,22,7
2:27,20,13
2:27,16,1
2:27,15,2
2:29,5,12
2:30,4,13
2:32,17,18
2:34,14,8
2:34,11,12
2:35,21,8
2:35,22,7
2:40,10,19
2:41,22,1
2:42,11,18
2:43,5,12
2:43,20,13
2:46,17,18
2:46,16,1
2:46,15,2
2:47,21,8
2:54,11,18
2:54,21,8
2:54,22,7
2:55,10,19
2:57,20,13
2:59,17,18
3:01,4,13
3:01,16,1
3:01,15,2
3:02,17,18
3:06,11,18
3:07,21,8
3:08,22,7
3:08,10,19
3:12,4,13
3:12,17,18
3:12,15,2
3:13,16,1
3:14,5,12
3:15,17,18
3:18,11,18
3:19,10,19
3:21,9,2
3:22,21,8
3:22,22,7
3:25,17,18
3:26,16,1
3:26,15,2
3:29,5,12
3:30,4,13
3:37,10,19
3:37,11,18
3:39,20,13
3:39,21,8
3:41,17,18
3:41,22,7
3:42,9,2
3:44,17,18
3:44,16,1
3:44,15,2
3:46,5,12
3:48,4,13
3:50,17,18
3:51,10,19
3:52,11,18
3:53,22,1
3:53,21,8
3:54,17,18
3:54,20,13
3:56,5,12
3:57,16,1
3:58,4,13
3:59,15,2
4:01,16,1
4:01,14,8
4:01,17,18
4:02,11,18
4:04,10,19
4:05,21,8
4:05,22,7
4:07,20,13
4:10,16,1
4:10,5,12
4:10,4,13
4:10,15,2
4:13,17,18
4:13,3,19
4:13,14,8
4:13,15,2
4:19,9,2
4:19,10,19
4:19,11,18
4:22,21,8
4:22,22,7
4:22,20,13
4:25,5,12
4:25,17,18
4:26,16,1
4:27,15,2
4:29,4,13
4:29,15,2
4:30,17,18
4:32,11,12
4:35,10,19
4:35,21,8
4:35,22,7
4:36,20,13
4:40,5,12
4:40,4,13
4:42,17,18
4:42,16,1
4:42,15,2
4:43,6,7
4:44,14,8
4:48,11,18
4:50,10,19
4:50,22,7
4:52,21,8
4:54,20,13
4:54,17,18
4:55,4,13
4:55,16,1
4:55,15,2
4:56,5,12
4:59,17,18
5:01,11,18
5:03,10,19
5:03,21,8
5:03,22,7
5:06,4,13
5:08,5,12
5:09,17,18
5:10,16,1
5:10,15,2
5:16,20,13
5:17,21,8
5:17,22,1
5:19,10,19
5:19,11,18
5:21,9,2
5:23,11,18
5:23,15,2
5:23,17,18
5:25,5,12
5:30,22,1
5:32,21,8
5:32,20,13
5:34,17,18
5:34,15,2
5:35,16,1
5:37,14,8
5:39,3,19
5:41,4,13
5:42,5,12
5:44,17,18
5:45,10,19
5:45,22,7
5:47,11,18
5:49,22,7
5:49,21,8
5:50,20,13
5:53,3,19
5:54,4,13
5:55,17,18
5:55,16,1
5:55,15,2
5:57,5,12
6:01,10,19
6:01,11,12
6:01,17,18
6:03,20,13
6:03,21,8
6:03,22,7
6:07,17,18
6:08,3,19
6:08,15,2
6:09,16,1
6:10,15,2
6:14,9,2
6:16,10,19
6:16,11,18
6:19,21,8
6:20,22,7
6:22,20,13
6:23,17,18
6:26,3,19
6:27,16,1
6:27,15,2
6:27,4,13
6:28,6,7
6:30,5,12
6:30,22,1
6:32,17,18
6:34,10,19
6:34,11,18
6:36,20,13
6:37,21,8
6:37,22,7
6:38,9,2
6:39,17,18
6:40,10,19
6:42,15,2
6:42,16,1
6:46,4,13
6:46,5,12
6:48,3,19
6:52,21,8
6:52,22,7
6:52,20,13
6:53,11,18
6:54,10,19
6:57,17,18
6:59,5,12
6:59,4,13
7:01,17,18
7:01,15,2
7:01,16,1
7:05,17,18
7:06,11,12
7:06,20,13
7:06,21,8
7:06,22,7
7:11,17,18
7:11,16,1
7:11,15,2
7:11,10,19
7:12,5,12
7:15,4,13
7:17,14,8
7:20,10,19
7:20,11,18
7:25,4,13
7:26,5,12
7:27,6,8
7:28,17,18
7:28,21,8
7:28,20,13
7:31,17,18
7:32,5,12
7:34,16,1
7:39,22,7
7:41,10,19
7:41,11,18
7:44,21,8
7:45,22,7
7:47,17,18
7:48,20,13
7:48,16,1
7:48,15,2
7:48,17,18
7:50,14,8
7:51,17,18
7:51,4,13
7:52,5,12
7:52,14,8
7:57,11,18
7:59,10,19
7:59,22,1
8:02,21,8
8:02,4,13
8:03,22,1
8:04,15,2
8:04,16,1
8:05,5,12
8:06,17,18
8:08,14,8
8:10,17,18
8:10,20,13
8:11,11,18
8:14,22,7
8:15,21,8
8:17,4,13
8:17,10,19
8:18,17,18
8:18,5,12
8:21,16,1
8:21,15,2
8:23,5,12
8:24,17,18
8:26,21,8
8:26,20,13
8:27,22,7
8:27,10,19
8:27,11,18
8:32,22,7
8:32,21,8
8:34,17,18
8:34,16,1
8:34,15,2
8:38,11,18
8:40,10,19
8:40,21,8
8:40,22,7
8:43,17,18
8:43,15,2
8:44,5,12
8:45,16,1
8:46,17,18
8:50,21,8
8:50,22,1
8:52,20,13
8:53,11,18
8:53,17,18
8:55,10,19
8:57,21,8
8:57,22,7
8:59,17,18
8:59,15,2
9:01,16,1
9:03,5,12
9:04,4,13
9:08,10,19
9:08,11,18
9:08,21,8
9:08,22,7
9:13,17,18
9:13,16,1
9:14,14,8
9:15,15,2
9:17,5,12
9:18,4,13
9:20,10,19
9:22,21,8
9:22,22,1
9:22,20,13
9:23,11,18
9:25,22,1
9:28,16,1
9:29,15,2
9:28,4,13
9:30,16,1
9:30,5,12
9:33,10,19
9:34,11,18
9:36,21,8
9:36,22,7
9:40,5,12
9:41,4,13
9:43,16,1
9:45,10,19
9:47,11,18
9:51,21,8
9:51,22,7
9:55,4,13
9:55,5,12
9:56,3,19
9:58,14,8
9:59,11,12
9:59,15,2
9:59,14,8
10:01,17,18
10:01,16,1
10:03,10,19
10:04,17,18
10:05,21,8
10:09,22,7
10:11,3,19
10:13,5,12
10:14,4,13
10:16,17,18
10:17,16,1
10:19,11,12
10:19,14,8
10:23,22,1
10:23,21,8
10:25,10,19
10:25,11,18
10:26,22,7
10:27,3,19
10:28,4,13
10:30,5,12
10:33,17,18
10:34,16,1
10:34,15,2
10:35,17,18
10:36,11,18
10:39,10,19
10:39,17,18
10:39,21,8
10:40,22,7
10:40,9,19
10:44,4,13
10:46,17,18
10:46,5,12
10:46,3,19
10:49,6,7
10:51,17,18
10:51,16,1
10:51,5,12
10:52,15,2
10:53,5,12
10:55,17,18
10:55,5,12
10:57,10,19
10:57,22,7
10:57,14,8
10:58,11,12
10:58,17,18
10:59,20,13
11:01,21,8
11:02,3,19
11:02,4,13
11:02,9,2
11:05,17,18
11:05,16,1
11:07,15,2
11:09,17,18
11:14,14,8
11:15,22,7
11:15,21,8
11:16,10,19
11:18,11,18
11:19,3,19
11:20,4,13
11:22,17,18
11:23,16,1
11:26,15,2
11:27,10,19
11:27,15,2
11:27,14,8
11:28,11,18
11:29,21,8
11:29,22,7
11:32,4,13
11:33,5,12
11:33,3,19
11:35,3,19
11:37,14,8
11:44,11,18
11:45,21,8
11:45,22,7
11:45,10,19
11:48,16,1
11:48,14,8
11:50,4,13
11:51,15,2
11:51,5,12
11:55,3,19
11:57,10,19
11:58,11,18
12:01,21,8
12:01,22,7
12:05,16,1
12:05,14,8
12:05,4,13
12:06,5,12
12:10,3,19
12:12,11,12
12:15,10,19
12:15,21,8
12:15,22,7
12:16,11,18
12:18,4,13
12:19,3,19
12:20,17,18
12:21,16,1
12:21,15,2
12:21,5,12
12:21,3,19
12:25,14,8
12:25,17,18
12:29,22,7
12:30,20,13
12:30,21,8
12:31,10,19
12:32,11,18
12:37,5,12
12:38,17,18
12:38,4,13
12:40,3,19
12:47,17,18
12:48,22,7
12:48,21,8
12:51,20,13
12:51,17,18
12:53,4,13
12:54,16,1
12:55,5,12
