timestep,start_lane,end_lane
1,21,8
1,11,18
1,10,19
2,22,7
7,5,12
7,3,19
11,10,19
11,21,8
13,11,18
13,22,7
16,21,8
16,10,19
18,11,18
19,21,8
20,11,18
20,10,19
30,10,19
31,11,18
37,15,2
41,10,19
41,21,8
42,22,7
43,11,18
44,21,8
47,16,1
49,17,18
51,22,2
52,21,8
54,10,19
56,11,18
54,20,13
55,22,7
1:01,16,1
1:02,15,2
1:04,14,7
1:05,17,18
1:05,20,13
1:07,21,8
1:07,22,7
1:10,10,19
1:11,21,8
1:11,11,12
1:15,5,12
1:16,16,1
1:16,15,2
1:20,20,13
1:21,22,7
1:23,10,19
1:25,11,12
1:26,16,1
1:29,5,12
1:29,14,7
1:30,17,18
1:33,20,13
1:35,21,8
1:38,10,19
1:38,11,18
1:41,5,12
1:41,4,13
1:42,16,1
1:48,10,19
1:48,11,18
1:49,21,7
1:51,14,7
1:54,11,18
1:54,10,19
1:57,21,7
1:58,10,19
1:59,22,1
2:01,11,18
2:04,3,19
2:06,11,18
2:07,10,19
2:09,22,7
2:10,21,8
2:14,20,13
2:15,3,19
2:18,10,19
2:26,5,12
2:28,21,8
2:29,21,8
2:30,10,19
2:31,22,1
2:32,22,7
2:35,15,2
2:36,17,18
2:41,3,19
2:42,11,18
2:45,21,8
2:45,22,7
2:49,16,1
2:50,14,7
2:50,17,18
2:54,21,8
2:54,22,7
2:54,20,13
2:58,10,19
2:59,11,18
3:03,15,2
3:04,16,1
3:07,21,7
3:07,22,8
3:14,17,18
3:14,16,1
3:14,15,2
3:18,21,8
3:19,20,13
3:25,4,13
3:28,14,7
3:29,20,13
3:31,21,8
3:38,14,7
3:39,4,13
3:41,5,12
3:45,22,7
3:46,21,8
3:47,11,18
3:52,4,13
3:56,11,18
3:57,10,19
3:58,15,2
4:00,9,2
4:04,5,12
4:08,22,1
4:08,9,2
4:09,10,19
4:09,11,18
4:10,20,13
4:11,21,8
4:14,15,2
4:17,14,7
4:20,10,19
4:20,11,18
4:21,21,8
4:23,22,7
4:28,16,1
4:35,21,8
4:30,4,13
4:31,3,19
4:34,11,18
4:36,22,7
4:36,21,8
4:37,20,13
4:41,10,19
4:42,5,12
4:43,5,7
4:45,16,1
4:46,11,18
4:49,21,8
4:50,20,13
4:49,22,7
4:51,21,8
4:54,11,18
4:54,10,19
4:54,11,12
4:59,16,1
5:01,15,2
5:08,20,13
5:09,21,8
5:10,22,7
5:10,10,19
5:10,11,18
5:15,3,19
5:19,22,7
5:20,10,19
5:20,21,8
5:23,15,2
5:24,16,1
5:24,17,18
5:26,17,18
5:29,17,18
5:29,20,13
5:29,22,1
5:30,21,8
5:32,5,12
5:34,11,18
5:38,3,19
5:39,14,7
5:44,16,1
5:46,10,19
5:46,11,18
5:47,21,8
5:48,20,13
5:48,22,2
5:51,14,7
5:55,21,8
5:56,20,13
5:57,22,7
5:58,11,18
5:58,10,19
6:01,21,8
6:02,22,7
6:05,22,7
6:06,11,12
6:07,10,19
6:09,21,8
6:10,11,12
6:12,16,1
6:14,11,12
6:16,10,19
6:18,11,18
6:24,10,19
6:24,21,8
6:24,10,19
6:25,22,7
6:26,11,18
6:30,17,18
6:30,20,13
6:33,15,2
6:33,17,18
6:35,22,7
6:39,21,8
6:38,17,18
6:41,11,12
6:45,17,18
6:45,5,12
6:45,4,13
6:46,15,2
6:49,14,7
6:49,15,2
6:51,17,18
6:52,22,7
6:53,21,8
6:54,11,18
6:58,17,18
7:01,5,12
7:03,14,7
7:04,17,18
7:05,4,13
7:08,22,7
7:09,11,12
7:09,10,19
7:11,21,8
7:13,11,12
7:17,4,13
7:23,14,7
7:24,17,18
7:25,21,8
7:25,22,7
7:27,20,13
7:30,5,12
7:34,21,8
7:34,22,7
7:35,11,18
7:36,10,19
7:38,20,13
7:39,21,8
7:43,22,1
7:43,11,12
7:45,10,19
7:46,5,12
7:48,21,8
7:50,22,7
7:55,11,18
7:56,10,19
8:01,11,12
8:03,21,8
8:06,14,7
8:11,11,18
8:11,10,19
8:13,21,8
8:14,11,12
8:28,21,8
8:28,20,13
8:28,22,7
8:31,6,7
8:32,4,13
8:32,14,7
8:32,17,18
8:38,22,7
8:38,21,8
8:39,3,19
8:41,20,13
8:42,17,18
8:45,11,12
8:47,17,18
8:49,5,12
8:49,4,13
8:51,14,7
8:51,15,2
8:53,16,1
8:53,17,18
8:57,22,7
8:57,21,8
8:56,11,18
9:02,17,18
9:04,22,2
9:04,21,8
9:06,17,18
9:07,22,7
9:10,21,8
9:12,22,7
9:16,22,7
9:17,21,8
9:19,11,12
9:21,10,19
9:23,21,8
9:26,11,18
9:30,17,18
9:32,3,19
9:34,11,18
9:37,10,19
9:39,11,18
9:41,10,19
9:44,16,1
9:47,11,18
9:49,10,19
9:54,5,12
9:58,11,18
9:58,10,19
10:03,16,1
10:05,15,2
10:08,11,18
10:08,10,19
10:13,11,12
10:15,10,19
10:19,11,12
10:19,10,19
10:21,9,2
10:23,20,13
10:28,22,7
10:32,4,13
10:33,17,18
10:34,5,12
10:34,21,8
10:37,11,18
10:37,22,7
10:41,22,7
10:41,20,13
10:46,16,1
10:46,15,2
10:48,14,7
10:51,11,18
10:52,10,19
10:52,22,7
10:52,21,8
10:53,11,12
10:56,20,13
11:01,16,1
11:01,5,12
11:03,14,7
11:07,22,7
11:08,21,8
11:11,11,18
11:12,10,19
11:12,9,2
11:16,4,13
11:17,15,2
11:17,5,12
11:17,16,1
11:18,17,18
11:22,22,7
11:23,21,8
11:25,11,18
11:27,17,18
11:27,11,12
11:30,22,7
11:30,21,8
11:32,11,12
11:37,21,8
11:37,22,7
11:38,10,19
11:38,11,18
11:43,14,7
11:47,4,13
11:48,21,8
11:48,22,7
11:48,11,18
11:50,10,19
11:53,5,12
11:56,21,8
11:57,11,18
11:58,10,19
12:02,21,8
12:02,11,18
12:02,10,19
12:10,21,8
12:10,20,13
12:15,5,12
12:15,4,13
12:16,3,19
12:21,11,12
12:23,20,13
12:23,21,8
12:28,5,12
12:34,5,12
12:35,15,2
12:37,22,7
12:38,20,13
12:40,21,8
12:41,16,1
12:45,10,19
12:51,15,2
12:53,21,8
12:54,22,7
12:55,11,18
12:55,20,13
12:59,22,1
13:01,15,2
13:03,21,8
13:07,22,7
13:08,15,2
13:12,21,8
13:12,22,7
13:14,16,1
13:20,10,19
13:21,11,18
13:22,21,8
13:22,22,2
13:25,16,1
13:27,14,7
13:27,17,18
13:31,10,19
13:34,14,7
13:34,17,18
13:36,11,12
13:36,22,7
13:39,21,8
13:43,14,7
13:46,22,7
13:48,21,8
13:49,11,18
13:49,10,19
13:52,11,12
13:52,21,8
13:56,10,19
14:01,11,18
14:01,10,19
14:04,9,2
14:07,16,1
14:10,10,19
14:11,21,8
14:19,10,19
14:20,9,2
14:20,11,12
14:21,21,8
14:25,10,19
14:27,11,18
14:29,22,7
14:31,21,8
14:34,15,2
14:35,16,1
14:35,4,13
14:37,5,12
14:41,21,8
14:42,22,7
14:42,10,19
14:43,11,18
14:47,15,2
14:47,16,1
14:50,20,13
14:52,21,8
14:53,22,7
14:56,11,18
14:56,10,19
14:56,17,18
14:59,4,13
15:01,22,1
15:01,21,8
15:03,20,13
15:04,22,7
15:08,11,18
15:12,15,2
15:14,5,12
15:16,22,7
15:17,4,13
15:19,21,8
15:19,20,13
15:22,11,12
15:22,10,19
15:26,17,18
15:29,14,7
15:31,22,7
15:33,21,8
15:33,20,13
15:37,11,12
15:39,4,13
15:38,15,2
15:41,10,19
15:42,11,18
15:42,22,7
15:42,21,8
15:45,20,13
15:51,4,13
15:52,21,8
15:53,11,18
15:53,10,19
15:53,22,7
15:54,20,13
15:56,9,2
16:01,22,7
16:03,21,8
16:03,11,18
16:03,4,13
16:07,10,19
16:09,22,7
16:10,11,18
16:12,21,8
16:14,11,12
16:15,10,19
16:16,9,2
16:19,4,13
16:20,5,12
16:24,21,8
16:27,11,12
16:28,10,19
16:30,4,13
16:31,5,12
16:32,16,1
16:35,11,18
16:35,10,19
16:37,21,8
16:39,17,18
16:40,22,7
16:41,15,2
16:44,5,12
16:48,22,7
16:48,21,8
16:48,17,18
16:49,11,18
16:49,10,19
16:53,15,2
16:54,5,12
16:55,17,18
16:55,4,13
16:59,22,7
16:59,21,8
17:01,10,19
17:03,15,2
17:03,17,18
17:04,14,7
17:07,5,12
17:10,10,19
17:10,21,8
17:11,22,7
17:12,20,13
17:14,17,18
17:15,15,2
17:16,14,7
17:20,21,8
17:21,20,13
17:21,17,18
17:22,22,7
17:24,15,2
17:26,5,12
17:28,21,8
17:29,22,7
17:30,20,13
17:30,11,18
17:32,21,8
17:35,11,12
17:36,20,13
17:36,21,8
17:39,21,8
17:44,22,2
17:46,21,8
17:47,11,18
17:50,21,8
17:50,10,19
17:52,22,7
17:54,17,18
17:55,11,18
17:56,10,19
17:56,22,7
17:58,21,8
18:03,14,7
18:05,17,18
18:08,10,19
18:09,21,7
18:11,21,8
18:15,20,13
18:17,10,19
18:18,21,8
18:19,11,18
18:22,5,12
18:23,14,7
18:29,11,18
18:29,10,19
18:29,9,2
18:32,20,13
18:33,21,8
18:37,5,12
18:39,11,12
18:40,10,18
18:40,9,2
18:41,21,8
18:42,20,13
18:43,22,7
18:48,11,18
18:51,22,7
18:52,21,8
18:54,17,18
18:57,15,2
18:58,17,18
19:01,5,12
19:04,3,19
19:07,11,18
19:09,22,7
19:10,11,12
19:10,21,8
19:14,14,7
19:14,17,18
19:14,15,2
19:14,16,1
19:18,21,7
19:18,22,1
19:19,21,8
19:24,3,19
19:25,10,19
19:29,16,1
19:32,4,13
19:33,21,8
19:33,22,7
19:35,11,18
19:36,10,19
19:39,16,1
19:43,21,8
19:46,10,19
19:48,5,12
19:51,14,7
19:53,22,7
19:54,11,18
19:55,10,19
19:57,9,2
20:03,3,19
20:05,11,18
20:07,21,8
20:07,10,19
20:12,4,13
20:17,11,18
20:17,10,19
20:18,5,7
20:21,3,19
20:22,14,7
20:28,11,18
20:28,10,19
20:28,22,7
20:33,5,12
20:34,3,19
20:35,17,18
20:37,22,7
20:38,21,8
20:39,20,13
20:41,11,18
20:41,10,19
20:46,5,12
20:48,17,18
20:53,14,7
20:53,16,1
20:55,3,19
21:01,21,8
21:01,22,7
21:01,20,13
21:04,11,18
21:05,10,19
21:07,5,12
21:07,17,18
21:11,16,1
21:14,22,7
21:14,21,8
21:18,20,13
21:21,5,12
21:23,16,1
21:26,11,18
21:26,10,19
21:27,22,7
21:27,21,8
21:32,20,13
21:34,4,13
21:35,5,12
21:36,3,19
21:39,11,12
21:40,16,1
21:42,10,19
21:43,11,12
21:44,21,7
21:44,21,8
21:44,20,13
21:46,11,18
21:52,20,13
21:53,21,8
21:54,22,7
21:57,10,19
21:58,11,18
22:04,16,1
22:06,14,7
22:07,4,13
22:09,20,13
22:12,11,18
21:13,10,19
21:13,9,1
22:14,22,7
22:16,21,8
22:22,21,8
22:24,20,13
22:26,11,18
22:27,10,19
22:29,22,7
22:31,21,8
22:34,5,7
22:34,11,12
22:36,4,13
22:37,22,7
22:38,10,19
22:38,11,18
22:38,21,8
22:41,20,13
22:42,21,8
22:43,22,7
22:45,17,18
22:47,5,12
22:48,17,18
22:49,14,7
22:51,17,18
22:52,11,12
22:52,10,19
22:52,20,13
22:53,21,8
22:54,17,18
22:56,22,7
23:01,15,2
23:01,16,1
23:01,11,12
23:02,17,18
23:05,20,13
23:06,5,12
23:08,10,19
23:09,21,8
23:10,11,18
23:10,22,7
23:14,17,18
23:16,21,8
23:17,11,12
23:18,22,7
23:18,20,13
23:22,17,18
23:22,16,1
23:22,15,2
23:24,14,7
23:24,5,12
23:27,3,19
23:29,11,18
23:30,22,7
23:31,21,8
23:33,20,13
23:35,17,18
23:37,4,13
23:38,22,7
23:39,21,8
23:39,20,13
23:43,22,7
23:45,11,18
23:46,21,8
23:50,20,13
23:55,10,19
24:01:00,21,8
24:02:00,22,7
24:03:00,10,19
24:06:00,5,12
24:08:00,4,13
24:10:00,10,19
24:11:00,21,8
24:15:00,20,13
24:19:00,3,19
24:27:00,15,2
24:22:00,10,19
24:22:00,11,18
24:24:00,21,8
24:30:00,6,7
24:30:00,17,18
24:32:00,22,7
24:34:00,10,19
24:37:00,16,1
24:38:00,15,2
24:39:00,14,7
24:44:00,10,19
24:46:00,22,7
24:47:00,21,8
24:49:00,15,2
24:51:00,16,1
24:51:00,5,12
24:51:00,17,18
24:55:00,22,7
24:56:00,21,8
24:58:00,20,13
25:03:00,10,19
25:04:00,11,18
25:07:00,14,7
25:08:00,17,18
25:13:00,20,13
25:14:00,22,7
25:14:00,21,8
25:15:00,10,19
25:17:00,11,18
25:22:00,5,12
25:22:00,4,13
25:22:00,14,7
25:23:00,15,2
25:25:00,17,18
25:30:00,16,1
25:31:00,11,12
25:31:00,10,19
25:31:00,9,2
25:34:00,21,8
25:35:00,22,7
25:35:00,20,13
25:38:00,10,19
25:39:00,14,7
25:40:00,5,12
25:45:00,10,19
25:47:00,21,8
25:51:00,11,12
25:51:00,6,7
25:54:00,22,7
25:54:00,21,8
25:55:00,11,18
25:55:00,10,19
26:01:00,5,12
26:02:00,10,19
26:02:00,11,18
26:02:00,21,8
26:09:00,21,8
26:09:00,20,13
26:13:00,11,18
26:15:00,10,19
26:16:00,22,7
26:18:00,20,13
26:23:00,5,12
26:26:00,10,19
26:26:00,11,18
26:28:00,21,8
26:30:00,20,13
26:34:00,5,12
26:39:00,21,8
26:39:00,11,18
26:39:00,15,2
26:41:00,10,19
26:42:00,20,13
26:48:00,11,12
26:47:00,20,13
26:49:00,10,19
26:54:00,4,13
26:55:00,5,12
26:56:00,14,7
26:56:00,3,19
27:01:00,21,8
27:02:00,22,7
27:02:00,11,12
27:03:00,20,13
27:06:00,17,18
27:07:00,14,7
27:09:00,5,12
27:11:00,3,19
27:13:00,22,1
27:14:00,11,18
27:14:00,10,19
27:14:00,21,8
27:17:00,22,7
27:18:00,20,13
27:20:00,17,18
27:23:00,15,2
27:26:00,10,19
27:29:00,21,8
27:33:00,6,7
27:35:00,11,18
27:36:00,16,1
27:38:00,10,19
27:39:00,22,7
27:39:00,11,18
27:40:00,10,19
27:41:00,11,18
27:45:00,10,19
27:52:00,17,18
27:54:00,10,19
27:55:00,22,2
27:55:00,11,18
28:01:00,11,18
28:01:00,21,8
28:01:00,22,7
28:02:00,10,19
28:10:00,11,18
28:14:00,21,8
28:16:00,10,19
28:16:00,22,7
28:18:00,21,8
28:24:00,5,12
28:26:00,4,13
28:29:00,10,19
28:29:00,11,18
28:32:00,21,8
28:32:00,22,7
28:35:00,20,13
28:40:00,5,12
28:41:00,21,8
28:44:00,17,18
28:46:00,14,7
28:48:00,11,18
28:49:00,10,19
28:51:00,22,2
28:52:00,21,8
28:54:00,14,7
28:55:00,11,12
28:57:00,15,2
28:58:00,17,18
29:01:00,22,2
29:02:00,21,8
29:03:00,17,18
29:04:00,16,1
29:04:00,20,13
29:07:00,5,12
29:10:00,22,7
29:11:00,21,8
29:14:00,17,18
29:14:00,14,7
29:15:00,15,2
29:17:00,16,1
29:20:00,10,19
29:21:00,11,18
29:21:00,22,7
29:21:00,21,8
29:23:00,20,13
29:26:00,14,7
29:28:00,15,2
29:28:00,16,1
29:28:00,17,18
29:31:00,10,19
29:31:00,11,18
29:32:00,21,8
29:37:00,17,18
29:38:00,16,1
29:38:00,15,2
29:39:00,4,13
29:43:00,21,8
29:43:00,22,7
29:44:00,10,19
29:44:00,11,12
29:48:00,16,1
29:49:00,5,12
29:53:00,22,7
29:53:00,11,18
29:53:00,10,19
29:54:00,21,8
29:59:00,16,1
30:05:00,11,18
30:07:00,10,19
30:07:00,21,8
30:08:00,22,7
30:09:00,20,13
30:12:00,11,18
30:17:00,3,19
30:18:00,15,2
30:20:00,11,18
30:20:00,10,19
30:23:00,20,13
30:23:00,21,8
30:24:00,22,7
30:29:00,10,19
30:31:00,11,12
30:31:00,4,13
30:31:00,15,2
30:33:00,17,18
30:36:00,11,18
30:36:00,22,7
30:37:00,10,19
30:37:00,21,8
30:41:00,20,13
30:42:00,17,18
30:43:00,16,1
30:45:00,15,2
30:47:00,4,13
30:48:00,11,18
30:48:00,10,19
30:50:00,21,8
30:50:00,22,7
