timestep,start_lane,end_lane
2,17,1
2,15,8
4,16,2
6,15,8
7,11,18
7,10,19
8,22,7
10,21,8
12,22,7
14,21,8
14,20,14
16,17,1
18,16,2
19,10,19
19,6,7
20,15,8
22,12,13
25,22,7
25,21,8
27,22,7
29,17,1
29,16,2
31,5,14
31,17,18
32,15,8
36,22,7
36,21,8
37,20,14
37,10,19
38,11,18
39,17,18
46,16,2
47,15,8
47,17,1
48,17,1
49,15,8
50,17,18
51,5,13
53,4,14
53,22,1
54,5,13
55,20,14
57,21,8
59,10,19
1:02,11,18
1:03,4,14
1:06,5,13
1:09,17,1
1:09,15,8
1:14,20,14
1:14,11,18
1:17,10,19
1:17,12,13
1:17,9,1
1:17,22,7
1:17,21,8
1:19,4,14
1:23,6,7
1:23,3,18
1:24,22,1
1:26,15,8
1:29,17,18
1:30,21,8
1:31,12,13
1:33,16,2
1:34,17,1
1:40,20,14
1:40,21,8
1:40,22,7
1:42,10,19
1:44,11,18
1:44,20,14
1:46,12,13
1:48,3,19
1:49,17,1
1:49,16,2
1:51,15,8
1:55,15,8
1:55,5,13
1:55,4,14
1:59,6,7
1:59,21,8
2:01,22,7
2:02,10,19
2:04,11,18
2:06,12,13
2:07,5,13
2:07,20,14
2:08,6,7
2:10,4,14
2:11,6,7
2:12,17,1
2:12,16,2
2:16,11,18
2:16,10,19
2:17,21,8
2:18,22,7
2:20,20,14
2:20,16,2
2:21,6,7
2:23,16,2
2:25,15,8
2:29,4,14
2:32,9,2
2:33,10,19
2:33,11,18
2:34,12,14
2:34,21,8
2:34,22,7
2:38,20,14
2:43,16,2
2:43,17,1
2:43,15,8
2:47,5,13
2:47,4,14
2:50,9,2
2:50,22,7
2:50,21,8
2:51,10,19
2:53,11,18
2:54,6,7
2:54,5,13
2:57,20,14
2:58,22,7
3:01,17,1
3:01,16,2
3:05,11,18
3:06,10,19
3:09,4,14
3:09,21,8
3:11,22,7
3:15,16,2
3:15,15,8
3:16,17,1
3:18,11,18
3:19,10,19
3:20,4,14
3:22,5,13
3:22,22,7
3:22,21,8
3:26,12,13
3:27,6,7
3:28,17,1
3:30,12,13
3:30,10,19
3:30,11,18
3:31,22,7
3:31,21,8
3:35,17,18
3:37,6,7
3:39,16,2
3:39,15,8
3:40,12,13
3:43,22,7
3:43,11,18
3:45,10,19
3:45,21,8
3:46,11,18
3:47,5,13
3:53,17,1
3:53,4,14
3:53,16,2
4:01,15,8
4:02,22,7
4:02,21,8
4:04,12,13
4:06,10,19
4:07,11,18
4:10,5,13
4:10,4,14
4:10,17,1
4:10,16,2
4:11,17,18
4:14,15,8
4:16,22,7
4:16,21,8
4:18,17,18
4:20,12,13
4:20,11,18
4:20,10,19
4:23,11,18
4:24,6,7
4:24,5,13
4:24,4,14
4:27,17,1
4:27,16,2
4:28,6,7
4:30,15,8
4:31,17,18
4:32,21,8
4:33,20,14
4:33,22,7
4:33,9,2
4:36,12,13
4:39,5,13
4:40,11,18
4:40,10,19
4:41,12,13
4:43,4,14
4:45,16,2
4:45,15,8
4:47,12,13
4:49,10,19
4:51,22,7
4:51,21,8
4:53,9,2
4:57,15,8
4:58,5,13
4:58,4,14
4:59,6,7
5:04,10,19
5:06,11,18
5:08,22,7
5:08,21,8
5:09,20,14
5:12,9,1
5:14,6,7
5:14,5,13
5:14,20,14
5:14,12,13
5:15,16,2
5:16,17,1
5:16,4,14
5:17,6,7
5:17,3,19
5:20,15,8
5:21,12,13
5:21,17,18
5:22,11,18
5:22,10,19
5:23,11,18
5:24,22,7
5:29,12,13
5:29,21,8
5:31,16,2
5:33,5,13
5:36,4,14
5:38,3,19
5:44,20,14
5:45,10,19
5:45,22,7
5:46,11,18
5:47,10,19
5:47,9,19
5:49,6,7
5:49,5,13
5:49,4,14
5:50,16,2
5:53,17,1
5:53,15,8
5:53,4,14
5:53,3,18
5:58,11,18
6:01,10,19
6:01,11,18
6:02,9,2
6:05,6,7
6:05,22,7
6:05,21,8
6:07,16,2
6:09,17,1
6:11,4,14
6:12,3,18
6:12,5,13
6:16,22,7
6:16,21,8
6:18,11,18
6:18,10,19
6:20,10,19
6:21,5,13
6:22,4,14
6:23,6,7
6:23,16,2
6:26,17,1
6:27,16,2
6:28,22,7
6:28,21,8
6:29,15,8
6:30,9,1
6:31,20,14
6:34,11,18
6:34,10,19
6:36,6,7
6:40,16,2
6:40,4,14
6:40,3,18
6:40,17,1
6:40,15,8
6:46,22,7
6:46,21,8
6:48,11,18
6:50,10,19
6:50,9,2
6:55,17,1
6:56,16,2
6:59,5,13
7:01,4,14
7:01,6,7
7:02,15,8
