timestep,start_lane,end_lane
1,6,7
1,22,7
1,21,8
2,3,19
3,4,14
3,16,2
3,17,1
3,15,8
7,6,7
7,11,18
7,10,19
8,9,2
12,6,7
14,22,7
14,21,8
17,21,8
17,4,14
17,17,1
18,15,8
19,3,18
23,4,14
26,11,18
29,10,19
30,22,7
30,21,8
33,17,1
33,22,1
35,16,2
35,5,13
37,16,2
37,4,14
39,6,7
40,15,8
41,11,18
42,20,13
44,21,8
44,22,7
45,12,13
45,10,19
48,16,2
48,4,14
51,17,1
53,5,14
54,20,14
57,12,13
1:01,22,7
1:01,21,8
1:01,11,18
1:02,10,19
1:05,17,1
1:05,16,2
1:05,15,8
1:06,6,7
1:06,4,14
1:09,6,7
1:09,12,13
1:12,6,7
1:13,20,14
1:15,11,18
1:15,10,19
1:16,22,7
1:16,21,8
1:21,17,1
1:21,16,2
1:22,6,7
1:22,4,14
1:26,22,1
1:26,21,8
1:27,12,13
1:27,11,18
1:30,20,14
1:32,10,19
1:33,4,14
1:33,5,13
1:34,11,18
1:36,12,13
1:39,17,1
1:39,16,2
1:43,10,19
1:44,11,18
1:44,22,7
1:44,21,8
1:44,20,13
1:50,4,14
1:56,15,8
1:58,12,13
1:57,20,14
2:01,10,19
2:01,11,18
2:01,21,8
2:01,22,7
2:06,5,13
2:06,4,14
2:13,20,14
2:15,22,7
2:15,21,8
2:17,12,13
2:17,16,2
2:18,11,18
2:18,17,1
2:19,6,7
2:20,10,19
2:22,20,13
2:28,6,7
2:29,16,2
2:30,5,13
2:31,4,14
2:32,17,1
2:35,15,8
2:40,22,7
2:40,21,8
2:40,3,18
2:41,12,13
2:41,11,18
2:41,10,19
2:42,4,14
2:44,5,13
2:44,6,7
2:46,17,1
2:46,4,14
2:49,6,7
2:51,15,8
2:52,12,13
2:54,22,7
2:54,21,8
2:57,12,13
2:57,10,19
2:57,11,18
2:57,9,2
3:00,6,7
3:02,4,14
3:02,16,2
3:04,22,1
3:04,6,7
3:04,17,1
3:07,17,18
3:09,15,8
3:11,22,7
3:11,21,8
3:12,4,14
3:13,12,13
3:13,11,18
3:14,10,19
3:18,15,8
3:20,17,1
3:21,10,19
3:22,16,2
3:23,11,18
3:24,6,7
3:24,20,13
3:25,21,8
3:25,22,7
3:26,12,13
3:28,4,14
3:30,17,1
3:30,15,8
3:33,11,18
3:34,10,19
3:35,22,7
3:35,21,8
3:40,5,13
3:44,17,1
3:44,15,8
3:47,12,13
3:49,11,18
3:49,10,19
3:51,22,7
3:51,21,8
3:54,4,14
3:58,16,2
3:58,15,8
4:01,17,1
4:01,10,19
4:02,11,18
4:03,22,7
4:03,21,8
4:06,4,14
4:07,17,18
4:08,16,2
4:09,5,13
4:09,3,18
4:13,15,8
4:16,11,18
4:16,10,19
4:16,22,7
4:19,21,8
4:21,4,14
4:21,5,13
4:23,16,2
4:24,17,1
4:25,15,8
4:28,21,8
4:28,22,7
4:29,10,19
4:31,11,18
4:34,4,14
4:35,4,14
4:35,5,13
4:37,6,13
4:37,17,1
4:37,16,2
4:41,15,8
4:42,10,19
4:42,11,18
4:43,22,7
4:43,21,8
4:46,12,13
4:48,16,2
4:49,15,8
4:49,4,14
4:52,5,13
4:53,22,7
4:54,16,2
5:00,21,8
5:01,12,13
5:01,10,19
5:01,21,8
5:01,22,1
5:03,11,18
5:04,6,7
5:04,4,14
5:06,6,7
5:10,22,7
5:10,21,8
5:13,15,8
5:13,12,13
5:18,4,14
5:19,5,13
5:21,15,8
5:22,22,1
5:24,11,18
5:24,10,19
5:26,12,14
5:27,21,8
5:31,17,1
5:31,16,2
5:31,15,8
5:38,6,7
5:38,22,7
5:38,4,14
5:41,21,8
5:42,11,18
5:42,10,19
5:43,9,1
5:47,16,2
5:47,15,8
5:48,5,13
5:50,4,14
5:55,22,7
5:55,21,8
5:56,20,14
5:59,5,13
5:59,4,14
5:59,9,2
6:01,11,18
6:01,10,19
6:07,15,8
6:09,3,18
6:14,11,18
6:14,10,19
6:15,22,7
6:16,21,8
6:17,9,1
6:19,12,13
6:20,20,14
6:21,17,1
6:23,15,8
6:28,21,8
6:31,10,19
6:31,12,13
6:32,11,18
6:34,22,7
6:36,16,2
6:37,17,1
6:37,6,7
6:39,12,13
6:39,4,14
6:39,5,13
6:40,15,8
6:40,4,14
6:47,9,2
6:47,10,19
6:47,11,18
6:53,22,7
6:53,21,8
6:54,17,1
6:54,16,2
6:55,6,7
6:55,12,13
6:56,15,8
6:59,9,2
7:01,11,18
7:01,10,19
7:05,12,13
7:06,15,8
7:07,17,18
7:08,22,7
7:11,22,1
7:11,21,8
7:12,10,19
7:13,6,7
7:14,11,18
7:15,4,14
7:17,16,2
7:17,5,13
7:21,15,8
7:22,22,7
7:22,21,8
7:23,12,13
7:24,11,18
7:24,10,19
7:28,6,7
7:28,5,13
7:28,4,14
7:32,16,2
7:33,17,1
7:33,15,8
7:35,12,13
7:38,22,7
7:38,21,8
7:39,11,18
7:39,12,13
7:42,12,13
7:42,11,18
7:42,6,7
7:44,9,2
7:45,16,2
7:47,6,7
7:47,16,2
7:48,17,1
7:48,5,13
7:48,4,14
7:51,15,8
7:52,22,7
7:52,21,8
7:54,11,18
7:55,12,14
7:56,10,19
7:58,4,14
8:02,17,1
8:02,16,2
8:04,17,18
8:04,15,8
8:05,22,7
8:06,11,18
8:06,10,19
8:07,21,8
8:09,20,13
8:11,4,14
8:13,10,19
8:14,17,18
8:16,16,2
8:16,15,8
8:17,17,1
8:21,11,18
8:21,22,7
8:22,21,8
8:24,15,8
8:25,11,18
8:25,17,1
8:27,6,7
8:28,4,14
8:28,3,18
8:30,22,7
8:32,11,18
8:32,10,19
8:35,21,8
8:36,11,18
8:37,6,7
8:38,17,1
8:38,15,8
8:39,4,14
8:40,17,1
8:41,17,18
8:42,10,19
8:44,11,18
8:45,22,7
8:47,21,8
8:50,21,8
8:51,22,7
8:51,16,2
8:51,21,8
8:52,15,8
8:56,10,19
8:56,11,18
8:58,5,13
8:58,4,14
9:02,3,18
9:03,16,2
9:09,11,18
9:09,22,7
9:10,21,8
9:15,9,2
9:17,17,1
9:17,15,8
9:18,16,2
9:18,4,14
9:22,10,19
9:24,12,14
9:25,20,14
9:25,22,7
9:25,21,8
9:28,11,18
9:31,12,13
9:32,4,14
9:32,5,13
9:33,15,8
9:33,17,1
9:36,16,2
9:36,17,1
9:40,22,1
9:41,10,19
9:41,11,18
9:41,21,8
9:45,9,1
9:48,4,14
9:48,5,13
9:48,20,14
9:51,16,2
9:53,15,8
9:57,10,19
9:57,11,18
9:57,22,7
9:57,21,8
10:01,12,13
10:01,4,14
10:06,16,2
10:06,15,8
10:09,20,14
10:09,22,7
10:10,21,8
10:12,10,19
10:13,11,18
10:17,15,8
10:19,17,18
10:19,16,2
10:21,20,14
10:22,22,7
10:24,9,2
10:25,21,8
10:25,10,19
10:27,11,18
10:31,15,8
10:32,16,2
10:36,12,13
10:36,20,13
10:37,9,2
10:37,10,19
10:37,11,18
10:37,21,8
10:39,22,7
10:44,17,18
10:44,15,8
10:45,16,2
10:47,20,13
10:48,12,13
10:50,11,18
10:50,10,19
10:51,21,8
10:51,22,7
10:53,12,13
10:55,17,1
10:55,16,2
10:55,15,8
11:01,11,18
11:01,22,7
11:01,21,8
11:02,10,19
11:06,17,1
11:06,16,2
11:06,15,8
11:10,11,18
11:11,10,19
11:13,22,1
11:13,12,13
11:14,21,8
11:14,3,18
11:16,17,18
11:22,6,7
11:23,16,2
11:23,12,13
11:24,10,19
11:25,11,18
11:28,20,14
11:28,10,19
11:30,9,2
11:31,16,2
11:31,21,8
11:31,22,7
11:34,10,19
11:39,3,18
11:40,17,1
11:40,15,8
11:47,22,7
11:47,21,8
11:47,20,14
11:48,12,13
11:51,10,19
11:52,4,14
11:52,11,18
11:53,9,1
11:55,17,1
11:56,5,13
11:58,15,8
11:59,16,2
12:01,12,13
12:01,22,7
12:01,21,8
12:02,11,18
12:04,10,19
12:05,11,18
12:07,12,13
12:08,6,7
12:08,4,14
12:09,17,1
12:09,16,2
12:10,6,7
12:13,22,7
12:15,12,13
12:16,11,18
12:18,21,8
12:18,10,19
12:18,9,1
12:21,4,14
12:21,16,2
12:22,17,1
12:25,11,18
12:27,10,19
12:28,22,7
12:29,21,8
